Año,Mes,Cuántas personas viven en la vivienda?,Es vivienda o punto fijo?,Provincia,Municipio,Urbano o Rural?,Sector /Vereda,Perros totales,Machos (dogs),Hembras (dogs),Esterilizados (dogs),Sin esterilizar (dogs),Vacunados (dogs),Sin vacunar (dogs),Gatos totales,Machos (cats),Hembras (cats),Esterilizados (cats),Sin esterilizar (cats),Vacunados (cats)
2024,marzo,1,Vivienda,sabana_centro,Chia,Urbano,Centro,2,0,2,0,2,2,0,0,0,0,0,0,0
2024,marzo,1,Vivienda,sabana_centro,Chia,Rural,La Balsa,1,0,1,0,1,1,0,2,1,1,0,2,2
2024,marzo,1,Vivienda,sabana_centro,Chia,Rural,La Balsa,0,0,0,0,0,0,0,1,1,0,0,1,1
2024,marzo,1,Vivienda,sabana_centro,Chia,Rural,La Balsa,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,marzo,1,Vivienda,sabana_centro,Chia,Urbano,Centro,2,0,2,0,2,2,0,0,0,0,0,0,0
2024,marzo,2,Vivienda,sabana_centro,Chia,Rural,Fonqueta,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,marzo,2,Vivienda,sabana_centro,Chia,Rural,Fonqueta,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,2,1,1,0,2,2,0,0,0,0,0,0,0
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,2,1,1,0,2,2
2024,marzo,,Vivienda,sabana_centro,Chia,Rural,fusca,6,5,1,0,6,6,0,0,0,0,0,0,0
2024,marzo,1,Vivienda,sabana_centro,Chia,Urbano,Centro,2,1,1,0,2,2,0,0,0,0,0,0,0
2024,marzo,1,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,2,1,1,0,2,2
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,0,1,1
2024,marzo,1,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,5,3,2,0,5,5,0,1,0,1,0,1,1
2024,marzo,2,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,2,1,1,0,2,2,0,0,0,0,0,0,0
2024,marzo,2,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,marzo,2,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,marzo,2,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,marzo,2,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,marzo,2,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,0,1,1
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,marzo,2,Vivienda,sabana_centro,Chia,Rural,Fonqueta,0,0,0,0,0,0,0,1,0,1,0,1,1
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,0,1,1
2024,marzo,1,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,0,0,0,0,0,0,0,1,1,0,0,1,1
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,0,1,1
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,marzo,1,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,0,1,1
2024,marzo,1,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,0,1,1
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,2,1,1,0,2,2
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,0,1,1
